id,name,amount,stage,close_date,owner_id,type,created_date,segment,source,is_closed,is_won
D-001,Sequoia Dynamics - API Gateway Renewal,159000,Discovery,2026-07-06,AE-M06,Renewal,2025-11-14,Mid-Market,Outbound,false,false
D-002,Indigo Dynamics - Monitoring,90000,Discovery,2026-05-05,AE-M03,New Business,2026-01-29,Mid-Market,Partner,false,false
D-003,Beacon Corp - Monitoring Expansion,146000,Discovery,2026-06-17,AE-M06,Expansion,2025-11-24,Mid-Market,Event,false,false
D-004,Indigo Dynamics - Enterprise Suite Renewal,89000,Discovery,2026-07-13,AE-M04,Renewal,2025-12-10,Mid-Market,Outbound,false,false
D-005,Borealis Solutions - API Gateway,52000,Discovery,2026-05-18,AE-C07,New Business,2025-11-12,Commercial,Outbound,false,false
D-006,Prism Group - Compliance,214000,Discovery,2026-06-08,AE-M08,New Business,2026-02-03,Mid-Market,Outbound,false,false
D-007,Borealis Partners - API Gateway Expansion,170000,Discovery,2026-07-16,AE-M07,Expansion,2026-03-04,Mid-Market,Event,false,false
D-008,Helix Industries - Security Module,173000,Discovery,2026-04-07,AE-M03,New Business,2026-02-20,Mid-Market,Outbound,false,false
D-009,Sapphire Partners - Enterprise Suite,175000,Discovery,2026-07-24,AE-M07,New Business,2026-01-21,Mid-Market,Outbound,false,false
D-010,Obsidian Technologies - Enterprise Suite Expansion,442000,Discovery,2026-03-27,AE-E03,Expansion,2026-02-23,Enterprise,Inbound,false,false
D-011,Dynamo Group - Compliance Expansion,171000,Discovery,2026-04-10,AE-M07,Expansion,2026-02-26,Mid-Market,Inbound,false,false
D-012,Coral Sciences - Analytics,46000,Discovery,2026-05-19,AE-C03,New Business,2026-03-27,Commercial,Outbound,false,false
D-013,Vanguard Platforms - Monitoring,287000,Discovery,2026-06-16,AE-E05,New Business,2025-11-12,Enterprise,PLG,false,false
D-014,Spectra Partners - API Gateway,137000,Discovery,2026-07-03,AE-M02,New Business,2025-11-27,Mid-Market,Partner,false,false
D-015,Synapse Sciences - Compliance Expansion,34000,Discovery,2026-06-26,AE-C02,Expansion,2025-12-05,Commercial,Outbound,false,false
D-016,Radiant Networks - Data Pipeline Renewal,24000,Discovery,2026-05-26,AE-C01,Renewal,2026-03-20,Commercial,Outbound,false,false
D-017,Forge Software - Analytics,93000,Discovery,2026-07-29,AE-M01,New Business,2026-01-26,Mid-Market,Inbound,false,false
D-018,Eclipse Dynamics - Analytics Expansion,59000,Discovery,2026-05-21,AE-C05,Expansion,2025-11-21,Commercial,Partner,false,false
D-019,Forge Data - API Gateway,465000,Discovery,2026-04-01,AE-E03,New Business,2026-02-23,Enterprise,Partner,false,false
D-020,Summit Global - Analytics Expansion,188000,Discovery,2026-07-07,AE-M01,Expansion,2026-03-12,Mid-Market,Outbound,false,false
D-021,Lumen Industries - API Gateway Expansion,285000,Discovery,2026-05-13,AE-E01,Expansion,2025-12-10,Enterprise,Outbound,false,false
D-022,Basalt Partners - Analytics Expansion,185000,Discovery,2026-06-29,AE-M07,Expansion,2025-11-07,Mid-Market,Inbound,false,false
D-023,Synapse Inc - Enterprise Suite,130000,Discovery,2026-04-21,AE-M05,New Business,2026-03-06,Mid-Market,PLG,false,false
D-024,Marble Technologies - Enterprise Suite Expansion,661000,Discovery,2026-06-25,AE-E04,Expansion,2026-01-21,Enterprise,PLG,false,false
D-025,Helix Technologies - Security Module Renewal,44000,Discovery,2026-07-31,AE-C06,Renewal,2025-12-02,Commercial,Partner,false,false
D-026,Indigo Global - Enterprise Suite,262000,Discovery,2026-04-07,AE-E05,New Business,2025-12-04,Enterprise,Event,false,false
D-027,Quantum Industries - Analytics,32000,Discovery,2026-07-17,AE-C07,New Business,2026-03-13,Commercial,PLG,false,false
D-028,Dynamo Group - Security Module,116000,Discovery,2026-05-07,AE-M01,New Business,2025-12-12,Mid-Market,Outbound,false,false
D-029,Bedrock Corp - Analytics Expansion,47000,Discovery,2026-04-07,AE-C03,Expansion,2026-03-17,Commercial,Partner,false,false
D-030,Opal Networks - Data Pipeline Expansion,472000,Discovery,2026-04-01,AE-E05,Expansion,2025-11-21,Enterprise,Partner,false,false
D-031,Pinnacle Global - Monitoring Renewal,129000,Discovery,2026-07-08,AE-M01,Renewal,2026-01-02,Mid-Market,Outbound,false,false
D-032,Obsidian Technologies - API Gateway,321000,Discovery,2026-07-15,AE-E04,New Business,2026-01-20,Enterprise,Outbound,false,false
D-033,Cobalt Data - Data Pipeline Expansion,307000,Discovery,2026-04-02,AE-E03,Expansion,2025-11-25,Enterprise,Outbound,false,false
D-034,Basalt Digital - Analytics Renewal,420000,Discovery,2026-07-02,AE-E02,Renewal,2025-12-19,Enterprise,Partner,false,false
D-035,Pinnacle Global - API Gateway,75000,Discovery,2026-06-09,AE-M05,New Business,2025-12-26,Mid-Market,PLG,false,false
D-036,Compass Inc - Data Pipeline,146000,Discovery,2026-04-13,AE-M08,New Business,2026-02-19,Mid-Market,Event,false,false
D-037,Indigo Global - Data Pipeline Expansion,372000,Discovery,2026-07-02,AE-E01,Expansion,2026-02-24,Enterprise,Outbound,false,false
D-038,Basalt Technologies - Analytics,515000,Discovery,2026-05-12,AE-E01,New Business,2026-03-23,Enterprise,PLG,false,false
D-039,Spectra Data - API Gateway,106000,Discovery,2026-04-13,AE-M01,New Business,2026-03-12,Mid-Market,Outbound,false,false
D-040,Verdant Cloud - Data Pipeline,,Discovery,2026-05-28,AE-M05,New Business,2026-03-17,Mid-Market,Event,false,false
D-041,Pavilion Ventures - Compliance Expansion,141000,Qualification,2026-06-11,AE-M02,Expansion,2025-11-07,Mid-Market,Event,false,false
D-042,Azure Industries - Enterprise Suite,219000,Qualification,2026-06-24,AE-E05,New Business,2026-03-27,Enterprise,Partner,false,false
D-043,Keystone Platforms - API Gateway Expansion,54000,Qualification,2026-04-22,AE-C04,Expansion,2026-03-13,Commercial,PLG,false,false
D-044,Keystone Labs - Security Module,26000,Qualification,2026-05-27,AE-C03,New Business,2026-01-07,Commercial,Event,false,false
D-045,Helix Technologies - Monitoring,15000,Qualification,,AE-C06,New Business,2026-01-13,Commercial,Outbound,false,false
D-046,Solstice Corp - Security Module Renewal,296000,Qualification,2026-04-23,AE-E01,Renewal,2026-03-03,Enterprise,Partner,false,false
D-047,Atlas Labs - Analytics Expansion,237000,Qualification,2026-06-22,AE-E05,Expansion,2025-11-26,Enterprise,Inbound,false,false
D-048,Eclipse Data - Platform,50000,Qualification,2026-06-03,AE-C07,New Business,2026-03-27,Commercial,Partner,false,false
D-049,Marble Industries - Enterprise Suite,67000,Qualification,2026-05-04,AE-C04,New Business,2025-11-10,Commercial,PLG,false,false
D-050,Synapse Ventures - Data Pipeline,34000,Qualification,2026-06-17,AE-C02,New Business,2025-12-12,Commercial,Inbound,false,false
D-051,Flint Platforms - Security Module,363000,Qualification,2026-05-07,AE-E04,New Business,2026-03-03,Enterprise,Inbound,false,false
D-052,Vanguard Inc - Data Pipeline Expansion,128000,Qualification,2026-05-25,AE-M01,Expansion,2025-12-01,Mid-Market,Partner,false,false
