id,name,segment,industry,employee_count
COMP-001,Vector Systems,Commercial,Manufacturing,82
COMP-002,Aether Labs,Commercial,Finance,159
COMP-003,Mercury Technologies,Enterprise,Manufacturing,16328
COMP-004,Dynamo Data,Enterprise,Education,15031
COMP-005,Drake Ventures,Mid-Market,Technology,1857
COMP-006,Pinnacle Platforms,Mid-Market,Manufacturing,518
COMP-007,Phoenix Labs,Enterprise,Media,8338
COMP-008,Spectra Data,Mid-Market,Energy,288
COMP-009,Compass Labs,Commercial,Finance,116
COMP-010,Sentry Networks,Commercial,Media,178
COMP-011,Ridge Solutions,Enterprise,Retail,16935
COMP-012,Sable Industries,Commercial,Retail,117
COMP-013,Eclipse Software,Enterprise,Manufacturing,25283
COMP-014,Radiant Solutions,Commercial,Manufacturing,63
COMP-015,Pinnacle Ventures,Mid-Market,Manufacturing,1510
COMP-016,Marble Technologies,Enterprise,Media,4103
COMP-017,Indigo Analytics,Enterprise,Media,39170
COMP-018,Summit Global,Mid-Market,Energy,1516
COMP-019,Crest Analytics,Enterprise,Retail,38789
COMP-020,Mercury Cloud,Mid-Market,Healthcare,649
COMP-021,Aegis Global,Enterprise,Finance,5087
COMP-022,Vanguard Group,Commercial,Finance,128
COMP-023,Cascade Digital,Mid-Market,Retail,1158
COMP-024,Sentry Systems,Commercial,Retail,49
COMP-025,Granite Platforms,Enterprise,Retail,2212
COMP-026,Dynamo Group,Mid-Market,Retail,417
COMP-027,Beacon Corp,Mid-Market,Technology,530
COMP-028,Marble Global,Enterprise,Retail,25788
COMP-029,Horizon Technologies,Enterprise,Finance,39182
COMP-030,Sable Global,Commercial,Healthcare,156
COMP-031,Stratos Global,Commercial,Retail,62
COMP-032,Nebula Data,Mid-Market,Manufacturing,633
COMP-033,Azure Digital,Commercial,Media,186
COMP-034,Borealis Partners,Mid-Market,Manufacturing,707
COMP-035,Helix Dynamics,Enterprise,Manufacturing,38301
COMP-036,Drake Systems,Enterprise,Technology,43359
COMP-037,Titan Solutions,Commercial,Finance,104
COMP-038,Aegis Industries,Mid-Market,Manufacturing,1194
COMP-039,Bedrock Corp,Commercial,Energy,166
COMP-040,Sterling Global,Commercial,Finance,68
COMP-041,Cipher Platforms,Mid-Market,Energy,1041
COMP-042,Atlas Labs,Enterprise,Media,49724
COMP-043,Lumen Industries,Enterprise,Energy,37146
COMP-044,Aether Platforms,Enterprise,Manufacturing,32318
COMP-045,Onyx Ventures,Commercial,Finance,160
COMP-046,Atlas Sciences,Commercial,Manufacturing,43
COMP-047,Ember Platforms,Mid-Market,Education,637
COMP-048,Prism Group,Mid-Market,Retail,999
COMP-049,Eclipse Networks,Mid-Market,Energy,1696
COMP-050,Vanguard Inc,Mid-Market,Technology,319
COMP-051,Keystone Technologies,Enterprise,Healthcare,33246
COMP-052,Prism Partners,Enterprise,Finance,14178
COMP-053,Helix Industries,Mid-Market,Manufacturing,1366
COMP-054,Forge Data,Enterprise,Media,45081
COMP-055,Basalt Inc,Commercial,Manufacturing,100
COMP-056,Basalt Digital,Enterprise,Retail,44303
COMP-057,Eclipse Dynamics,Commercial,Technology,38
COMP-058,Eclipse Data,Commercial,Finance,45
COMP-059,Compass Inc,Mid-Market,Media,471
COMP-060,Opal Networks,Enterprise,Retail,37600
COMP-061,Nebula Systems,Commercial,Retail,161
COMP-062,Lumen Corp,Mid-Market,Healthcare,419
COMP-063,Radiant Networks,Commercial,Manufacturing,107
COMP-064,Basalt Partners,Mid-Market,Technology,1932
COMP-065,Quantum Platforms,Commercial,Technology,31
COMP-066,Falcon Corp,Commercial,Healthcare,87
COMP-067,Borealis Sciences,Commercial,Technology,163
COMP-068,Vector Solutions,Commercial,Healthcare,196
COMP-069,Bedrock Technologies,Commercial,Healthcare,169
COMP-070,Solstice Corp,Enterprise,Technology,25897
COMP-071,Coral Inc,Commercial,Finance,190
COMP-072,Coral Sciences,Commercial,Healthcare,124
COMP-073,Horizon Group,Commercial,Education,65
COMP-074,Vertex Group,Commercial,Education,105
COMP-075,Sterling Analytics,Enterprise,Finance,47958
COMP-076,Tempest Technologies,Commercial,Manufacturing,76
COMP-077,Azure Industries,Enterprise,Manufacturing,45255
COMP-078,Indigo Dynamics,Mid-Market,Retail,342
COMP-079,Spectra Partners,Mid-Market,Media,1927
COMP-080,Vertex Labs,Commercial,Healthcare,86
COMP-081,Basalt Technologies,Enterprise,Media,30479
COMP-082,Keystone Platforms,Commercial,Finance,150
COMP-083,Cascade Cloud,Enterprise,Education,4908
COMP-084,Apex Partners,Commercial,Manufacturing,157
COMP-085,Flint Platforms,Enterprise,Media,45531
COMP-086,Keystone Labs,Commercial,Retail,96
COMP-087,Sequoia Dynamics,Mid-Market,Healthcare,805
COMP-088,Ridge Platforms,Commercial,Healthcare,117
COMP-089,Crimson Digital,Mid-Market,Retail,200
COMP-090,Cedar Inc,Mid-Market,Media,1387
COMP-091,Pavilion Ventures,Mid-Market,Energy,637
COMP-092,Ember Solutions,Mid-Market,Media,1559
COMP-093,Quantum Industries,Commercial,Manufacturing,77
COMP-094,Crest Systems,Enterprise,Finance,33138
COMP-095,Eclipse Platforms,Commercial,Manufacturing,167
COMP-096,Cascade Global,Mid-Market,Technology,502
COMP-097,Lumen Platforms,Enterprise,Energy,47607
COMP-098,Sterling Labs,Mid-Market,Energy,1841
COMP-099,Nebula Sciences,Mid-Market,Energy,1746
COMP-100,Dynamo Platforms,Commercial,Energy,160
COMP-101,Pinnacle Global,Mid-Market,Manufacturing,1739
COMP-102,Sapphire Partners,Mid-Market,Retail,689
COMP-103,Borealis Solutions,Commercial,Retail,80
COMP-104,Falcon Dynamics,Commercial,Healthcare,40
COMP-105,Vanguard Industries,Mid-Market,Manufacturing,512
COMP-106,Helix Platforms,Mid-Market,Energy,1311
COMP-107,Obsidian Technologies,Enterprise,Education,29534
