id,name,segment,industry,employee_count
COMP-001,Forge Inc,Mid-Market,Healthcare,262
COMP-002,Radiant Systems,Mid-Market,Healthcare,1653
COMP-003,Cobalt Ventures,Enterprise,Manufacturing,17066
COMP-004,Ridge Labs,Enterprise,Education,24964
COMP-005,Spectra Labs,Mid-Market,Energy,670
COMP-006,Granite Labs,Mid-Market,Healthcare,1967
COMP-007,Monolith Global,Enterprise,Education,8216
COMP-008,Synapse Labs,Mid-Market,Media,1320
COMP-009,Nexus Corp,Mid-Market,Manufacturing,1532
COMP-010,Forge Cloud,Mid-Market,Healthcare,930
COMP-011,Lattice Ventures,Mid-Market,Retail,1604
COMP-012,Cedar Inc,Enterprise,Media,25473
COMP-013,Ironclad Sciences,Mid-Market,Retail,335
COMP-014,Aegis Software,Mid-Market,Healthcare,203
COMP-015,Nebula Inc,Enterprise,Finance,24130
COMP-016,Keystone Labs,Enterprise,Retail,2447
COMP-017,Flint Analytics,Enterprise,Education,3015
COMP-018,Summit Global,Mid-Market,Technology,661
COMP-019,Beacon Partners,Mid-Market,Finance,1974
COMP-020,Granite Digital,Mid-Market,Technology,251
COMP-021,Crimson Data,Mid-Market,Healthcare,720
COMP-022,Aether Ventures,Enterprise,Energy,28103
COMP-023,Orbit Systems,Mid-Market,Energy,657
COMP-024,Axiom Data,Mid-Market,Technology,473
COMP-025,Cipher Ventures,Mid-Market,Finance,1693
COMP-026,Cobalt Solutions,Enterprise,Finance,23630
COMP-027,Sequoia Global,Enterprise,Manufacturing,5611
COMP-028,Dynamo Industries,Mid-Market,Education,567
COMP-029,Sable Ventures,Mid-Market,Manufacturing,1893
COMP-030,Spectra Platforms,Enterprise,Technology,23021
COMP-031,Forge Technologies,Mid-Market,Energy,1773
COMP-032,Nimbus Technologies,Enterprise,Education,6315
COMP-033,Atlas Group,Mid-Market,Education,974
COMP-034,Cobalt Corp,Mid-Market,Energy,926
COMP-035,Cipher Group,Mid-Market,Finance,1089
COMP-036,Prism Partners,Mid-Market,Education,1852
COMP-037,Compass Group,Enterprise,Education,25498
COMP-038,Pavilion Corp,Mid-Market,Education,859
COMP-039,Nebula Cloud,Mid-Market,Energy,1748
COMP-040,Synapse Platforms,Mid-Market,Healthcare,931
COMP-041,Phoenix Platforms,Enterprise,Education,7341
COMP-042,Verdant Group,Mid-Market,Healthcare,1608
COMP-043,Cipher Labs,Enterprise,Retail,11082
COMP-044,Compass Software,Mid-Market,Finance,1610
COMP-045,Flint Corp,Mid-Market,Energy,763
COMP-046,Sapphire Platforms,Enterprise,Technology,14204
COMP-047,Drake Global,Mid-Market,Healthcare,288
COMP-048,Flint Sciences,Mid-Market,Media,1568
COMP-049,Nebula Analytics,Enterprise,Media,8592
COMP-050,Monolith Cloud,Mid-Market,Education,876
COMP-051,Thrive Group,Mid-Market,Manufacturing,922
COMP-052,Mercury Solutions,Mid-Market,Finance,342
COMP-053,Cedar Corp,Enterprise,Healthcare,9730
COMP-054,Borealis Systems,Enterprise,Healthcare,18314
COMP-055,Zenith Labs,Mid-Market,Healthcare,1554
COMP-056,Marble Corp,Mid-Market,Technology,1111
COMP-057,Cipher Software,Mid-Market,Manufacturing,1775
COMP-058,Vanguard Ventures,Mid-Market,Finance,1192
COMP-059,Vector Solutions,Mid-Market,Healthcare,1971
COMP-060,Orbit Ventures,Enterprise,Media,14421
COMP-061,Basalt Group,Mid-Market,Healthcare,705
COMP-062,Ridge Global,Mid-Market,Finance,1347
COMP-063,Verdant Ventures,Mid-Market,Finance,501
COMP-064,Marble Inc,Mid-Market,Healthcare,875
COMP-065,Beacon Global,Mid-Market,Energy,1526
COMP-066,Ember Inc,Mid-Market,Finance,824
COMP-067,Solstice Sciences,Enterprise,Finance,23345
COMP-068,Compass Digital,Enterprise,Manufacturing,9068
COMP-069,Axiom Inc,Enterprise,Education,21700
COMP-070,Vector Systems,Mid-Market,Energy,1400
COMP-071,Pulse Systems,Mid-Market,Media,1794
COMP-072,Forge Ventures,Mid-Market,Retail,1844
COMP-073,Drake Digital,Mid-Market,Finance,867
COMP-074,Orbit Partners,Enterprise,Education,9837
COMP-075,Vanguard Solutions,Enterprise,Energy,4529
COMP-076,Dynamo Systems,Mid-Market,Retail,1588
COMP-077,Vertex Partners,Mid-Market,Healthcare,693
COMP-078,Crimson Platforms,Mid-Market,Education,983
COMP-079,Cascade Partners,Mid-Market,Manufacturing,928
COMP-080,Flint Networks,Mid-Market,Technology,1681
COMP-081,Pavilion Ventures,Mid-Market,Healthcare,592
COMP-082,Monolith Software,Mid-Market,Media,1635
COMP-083,Sapphire Industries,Mid-Market,Manufacturing,1008
COMP-084,Azure Dynamics,Mid-Market,Finance,520
COMP-085,Verdant Corp,Enterprise,Energy,16634
COMP-086,Cipher Solutions,Mid-Market,Media,1533
COMP-087,Flint Systems,Enterprise,Finance,21463
COMP-088,Dynamo Technologies,Enterprise,Media,11355
COMP-089,Aether Analytics,Enterprise,Manufacturing,14614
COMP-090,Mercury Ventures,Mid-Market,Finance,1160
COMP-091,Marble Group,Mid-Market,Education,774
COMP-092,Onyx Digital,Enterprise,Energy,15071
COMP-093,Keystone Data,Mid-Market,Retail,1650
COMP-094,Pinnacle Global,Mid-Market,Technology,523
COMP-095,Vector Ventures,Enterprise,Media,23829
COMP-096,Quantum Software,Mid-Market,Finance,922
COMP-097,Granite Platforms,Enterprise,Manufacturing,18265
COMP-098,Falcon Platforms,Mid-Market,Education,1500
COMP-099,Pavilion Technologies,Enterprise,Technology,16136
COMP-100,Radiant Data,Mid-Market,Retail,1102
COMP-101,Cipher Systems,Mid-Market,Retail,1844
COMP-102,Sapphire Sciences,Mid-Market,Technology,1822
COMP-103,Radiant Technologies,Enterprise,Retail,9337
COMP-104,Granite Networks,Mid-Market,Finance,843
COMP-105,Thrive Ventures,Enterprise,Technology,18735
COMP-106,Vanguard Platforms,Mid-Market,Manufacturing,1719
COMP-107,Basalt Partners,Mid-Market,Manufacturing,1256
COMP-108,Flint Digital,Mid-Market,Retail,558
COMP-109,Verdant Digital,Enterprise,Manufacturing,24758
COMP-110,Horizon Global,Mid-Market,Finance,1134
COMP-111,Coral Networks,Enterprise,Media,10045
COMP-112,Onyx Cloud,Mid-Market,Finance,334
