deal_id,from_stage,to_stage,transition_date
D-001,,Discovery,2025-11-14T09:45:00
D-002,,Discovery,2026-01-29T09:30:00
D-003,,Discovery,2025-11-24T08:30:00
D-004,,Discovery,2025-12-10T16:00:00
D-005,,Discovery,2025-11-12T11:45:00
D-006,,Discovery,2026-02-03T12:45:00
D-007,,Discovery,2026-03-04T09:00:00
D-008,,Discovery,2026-02-20T13:00:00
D-009,,Discovery,2026-01-21T13:15:00
D-010,,Discovery,2026-02-23T11:15:00
D-011,,Discovery,2026-02-26T08:15:00
D-012,,Discovery,2026-03-27T09:30:00
D-013,,Discovery,2025-11-12T12:00:00
D-014,,Discovery,2025-11-27T13:30:00
D-014,Discovery,Discovery,2025-12-29T12:00:00
D-014,Discovery,Discovery,2026-01-20T10:00:00
D-015,,Discovery,2025-12-05T11:00:00
D-016,,Discovery,2026-03-20T11:30:00
D-017,,Discovery,2026-01-26T15:30:00
D-018,,Discovery,2025-11-21T13:00:00
D-019,,Discovery,2026-02-23T14:30:00
D-020,,Discovery,2026-03-12T10:45:00
D-021,,Discovery,2025-12-10T09:15:00
D-022,,Discovery,2025-11-07T14:00:00
D-023,,Discovery,2026-03-06T09:45:00
D-024,,Discovery,2026-01-21T12:30:00
D-025,,Discovery,2025-12-02T11:45:00
D-026,,Discovery,2025-12-04T15:45:00
D-027,,Discovery,2026-03-13T10:45:00
D-028,,Discovery,2025-12-12T16:30:00
D-029,,Discovery,2026-03-17T17:15:00
D-030,,Discovery,2025-11-21T17:45:00
D-031,,Discovery,2026-01-02T09:00:00
D-032,,Discovery,2026-01-20T13:45:00
D-033,,Discovery,2025-11-25T17:45:00
D-033,Discovery,Discovery,2025-12-30T09:15:00
D-033,Discovery,Discovery,2026-01-26T13:45:00
D-034,,Discovery,2025-12-19T16:45:00
D-035,,Discovery,2025-12-26T12:45:00
D-036,,Discovery,2026-02-19T14:30:00
D-037,,Discovery,2026-02-24T17:00:00
D-038,,Discovery,2026-03-23T16:45:00
D-039,,Discovery,2026-03-12T13:15:00
D-040,,Discovery,2026-03-17T08:30:00
D-041,,Discovery,2025-11-07T17:15:00
D-041,Discovery,Qualification,2025-12-15T08:45:00
D-042,,Discovery,2026-03-27T15:30:00
D-042,Discovery,Qualification,2026-04-24T10:45:00
D-043,,Discovery,2026-03-13T15:45:00
D-043,Discovery,Qualification,2026-04-07T10:45:00
D-044,,Discovery,2026-01-07T12:30:00
D-044,Discovery,Qualification,2026-01-29T12:30:00
D-045,,Discovery,2026-01-13T14:30:00
D-045,Discovery,Qualification,2026-02-27T10:30:00
D-046,,Discovery,2026-03-03T12:30:00
D-046,Discovery,Qualification,2026-03-22T09:15:00
D-047,,Discovery,2025-11-26T16:15:00
D-047,Discovery,Qualification,2025-12-24T15:45:00
D-048,,Discovery,2026-03-27T10:45:00
D-048,Discovery,Qualification,2026-05-09T10:00:00
D-049,,Discovery,2025-11-10T13:30:00
D-049,Discovery,Qualification,2025-12-09T16:45:00
D-050,,Discovery,2025-12-12T08:30:00
D-050,Discovery,Qualification,2026-01-21T12:15:00
D-051,,Discovery,2026-03-03T14:15:00
D-051,Discovery,Qualification,2026-04-01T12:30:00
D-052,,Discovery,2025-12-01T16:30:00
D-052,Qualification,Qualification,2026-01-02T13:15:00
D-052,Discovery,Qualification,2026-01-07T09:30:00
D-052,Qualification,Qualification,2026-01-29T09:15:00
D-053,,Discovery,2026-02-04T11:15:00
D-053,Discovery,Qualification,2026-03-12T17:00:00
D-054,,Discovery,2026-03-10T16:45:00
D-054,Discovery,Qualification,2026-03-28T11:45:00
D-055,,Discovery,2026-03-24T14:30:00
D-055,Discovery,Qualification,2026-05-04T08:15:00
D-056,,Discovery,2025-11-18T14:15:00
D-056,Discovery,Qualification,2025-12-27T10:45:00
D-057,,Discovery,2026-03-19T16:45:00
D-057,Discovery,Qualification,2026-04-19T10:15:00
D-058,,Discovery,2026-03-20T11:45:00
D-058,Discovery,Qualification,2026-04-15T10:30:00
D-059,,Discovery,2025-11-05T08:45:00
D-059,Discovery,Qualification,2025-12-09T08:15:00
D-060,,Discovery,2026-03-09T13:15:00
D-060,Discovery,Qualification,2026-04-02T10:15:00
D-061,,Discovery,2026-02-18T14:30:00
D-061,Discovery,Qualification,2026-03-27T14:45:00
D-062,,Discovery,2026-01-16T08:45:00
D-062,Discovery,Qualification,2026-03-02T14:15:00
D-063,,Discovery,2026-03-18T17:00:00
D-063,Discovery,Qualification,2026-04-29T09:15:00
D-064,,Discovery,2025-12-24T08:15:00
D-064,Discovery,Qualification,2026-02-06T11:00:00
D-065,,Discovery,2026-01-01T14:45:00
D-065,Discovery,Qualification,2026-02-02T13:30:00
D-066,,Discovery,2026-01-21T14:00:00
D-066,Discovery,Qualification,2026-02-23T11:15:00
D-067,,Discovery,2026-01-02T15:45:00
D-067,Discovery,Qualification,2026-01-31T10:30:00
D-068,,Discovery,2025-11-20T14:15:00
D-068,Discovery,Qualification,2025-12-31T11:00:00
D-069,,Discovery,2026-03-04T16:45:00
D-069,Discovery,Qualification,2026-03-19T08:30:00
D-070,,Discovery,2026-02-19T09:15:00
D-070,Discovery,Qualification,2026-03-13T11:30:00
D-071,,Discovery,2026-01-16T08:00:00
D-071,Discovery,Qualification,2026-02-12T14:45:00
D-072,,Discovery,2026-02-20T09:00:00
D-072,Discovery,Qualification,2026-03-14T11:45:00
D-073,,Discovery,2026-01-20T14:00:00
D-073,Discovery,Qualification,2026-02-13T10:15:00
D-074,,Discovery,2025-11-21T14:15:00
D-074,Discovery,Qualification,2026-01-01T09:30:00
D-075,,Discovery,2025-12-29T17:45:00
D-075,Discovery,Qualification,2026-01-15T17:30:00
D-076,,Discovery,2025-12-10T09:00:00
D-076,Discovery,Qualification,2025-12-25T12:45:00
D-076,Qualification,Technical Evaluation,2026-01-20T12:00:00
D-077,,Discovery,2026-01-30T13:45:00
D-077,Discovery,Qualification,2026-02-14T12:45:00
D-077,Qualification,Technical Evaluation,2026-03-13T09:15:00
D-078,,Discovery,2026-01-08T12:45:00
D-078,Discovery,Technical Evaluation,2026-02-01T15:00:00
D-079,,Discovery,2026-02-10T13:45:00
D-079,Discovery,Qualification,2026-03-07T14:15:00
D-079,Qualification,Technical Evaluation,2026-03-31T13:15:00
D-080,,Discovery,2026-03-06T12:45:00
D-080,Discovery,Qualification,2026-04-01T09:15:00
D-080,Qualification,Technical Evaluation,2026-05-04T16:15:00
D-081,,Discovery,2026-01-14T14:45:00
D-081,Discovery,Qualification,2026-02-02T12:15:00
D-081,Qualification,Technical Evaluation,2026-02-25T10:45:00
D-082,,Discovery,2026-02-11T13:00:00
D-082,Discovery,Qualification,2026-03-01T11:30:00
D-082,Qualification,Technical Evaluation,2026-03-21T17:00:00
D-083,,Discovery,2026-03-11T14:45:00
D-083,Discovery,Qualification,2026-04-19T17:15:00
D-083,Qualification,Technical Evaluation,2026-05-15T08:45:00
D-084,,Discovery,2025-06-23T11:30:00
D-084,Discovery,Qualification,2025-07-06T13:00:00
D-084,Qualification,Technical Evaluation,2025-07-19T15:15:00
D-085,,Discovery,2026-01-02T13:45:00
D-085,Discovery,Qualification,2026-02-16T15:15:00
D-085,Qualification,Technical Evaluation,2026-03-28T14:15:00
D-086,,Discovery,2025-07-09T13:30:00
D-086,Discovery,Qualification,2025-07-19T15:45:00
D-086,Qualification,Technical Evaluation,2025-07-27T14:45:00
D-087,,Discovery,2026-01-20T17:00:00
D-087,Discovery,Qualification,2026-02-15T13:45:00
D-087,Qualification,Technical Evaluation,2026-03-21T10:30:00
D-088,,Discovery,2026-01-01T10:45:00
D-088,Discovery,Qualification,2026-01-29T17:15:00
D-088,Qualification,Technical Evaluation,2026-03-03T14:45:00
D-089,,Discovery,2026-02-24T15:15:00
D-089,Discovery,Qualification,2026-03-17T14:45:00
D-089,Qualification,Technical Evaluation,2026-04-14T15:45:00
D-090,,Discovery,2026-01-14T12:15:00
D-090,Discovery,Qualification,2026-02-22T15:45:00
D-090,Qualification,Technical Evaluation,2026-03-26T16:00:00
D-091,,Discovery,2025-08-15T11:30:00
D-091,Discovery,Qualification,2025-08-26T14:00:00
D-091,Qualification,Technical Evaluation,2025-09-04T17:30:00
D-092,,Discovery,2025-12-31T17:45:00
