deal_id,from_stage,to_stage,transition_date
MOH-001,,Discovery,2025-12-18T12:45:00
MOH-001,Discovery,Qualification,2026-01-03T09:00:00
MOH-001,Qualification,Business Case,2026-02-11T13:45:00
MOH-001,Negotiation,Closed Won,2026-04-14T14:30:00
MOH-001,Business Case,Negotiation,2026-04-16T17:15:00
MOH-002,,Discovery,2026-01-06T12:15:00
MOH-002,Discovery,Qualification,2026-01-26T09:30:00
MOH-002,Qualification,Business Case,2026-02-28T10:45:00
MOH-002,Business Case,Negotiation,2026-04-05T11:45:00
MOH-002,Negotiation,Closed Won,2026-04-28T14:00:00
MOH-003,,Discovery,2025-10-20T08:15:00
MOH-003,Discovery,Qualification,2025-11-06T12:15:00
MOH-003,Qualification,Technical Evaluation,2025-12-15T08:30:00
MOH-003,Technical Evaluation,Business Case,2026-01-21T14:00:00
MOH-003,Business Case,Negotiation,2026-03-03T11:15:00
MOH-004,,Discovery,2025-11-17T15:15:00
MOH-004,Discovery,Qualification,2025-12-05T14:45:00
MOH-004,Qualification,Technical Evaluation,2026-01-16T10:00:00
MOH-004,Technical Evaluation,Business Case,2026-02-28T16:45:00
MOH-005,,Discovery,2026-04-09T15:45:00
MOH-005,Discovery,Qualification,2026-04-22T08:15:00
MOH-005,Qualification,Technical Evaluation,2026-05-25T13:30:00
MOH-006,,Discovery,2026-01-15T15:45:00
MOH-006,Discovery,Qualification,2026-02-01T11:00:00
MOH-006,Qualification,Closed Lost,2026-02-27T11:30:00
MOH-007,,Discovery,2025-12-02T17:15:00
MOH-007,Discovery,Technical Evaluation,2025-12-16T13:00:00
MOH-007,Technical Evaluation,Business Case,2026-02-17T17:45:00
MOH-007,Business Case,Negotiation,2026-04-26T08:15:00
MOH-008,,Discovery,2026-02-08T16:15:00
MOH-008,Discovery,Technical Evaluation,2026-02-26T17:15:00
MOH-008,Technical Evaluation,Business Case,2026-03-27T11:00:00
MOH-008,Negotiation,Closed Won,2026-04-03T12:00:00
MOH-008,Business Case,Negotiation,2026-04-03T17:45:00
MOH-009,,Discovery,2026-04-22T12:15:00
MOH-009,Discovery,Qualification,2026-05-02T16:45:00
MOH-010,,Discovery,2026-03-04T13:00:00
MOH-010,Discovery,Qualification,2026-03-16T12:30:00
MOH-011,,Discovery,2026-01-19T10:15:00
MOH-011,Discovery,Qualification,2026-01-29T12:30:00
MOH-012,,Discovery,2026-04-16T10:45:00
MOH-012,Discovery,Qualification,2026-05-05T10:00:00
MOH-013,,Discovery,2026-01-19T16:00:00
MOH-013,Discovery,Qualification,2026-02-06T15:00:00
MOH-014,,Discovery,2026-04-17T08:30:00
MOH-014,Discovery,Qualification,2026-05-04T16:30:00
MOH-015,,Discovery,2026-01-21T16:30:00
MOH-015,Discovery,Qualification,2026-02-03T15:15:00
MOH-016,,Discovery,2026-02-05T15:45:00
MOH-016,Discovery,Qualification,2026-02-15T08:15:00
MOH-017,,Discovery,2026-01-22T11:30:00
MOH-017,Discovery,Qualification,2026-02-06T11:45:00
MOH-018,,Discovery,2026-03-12T15:15:00
MOH-018,Discovery,Qualification,2026-04-02T12:45:00
MOH-019,,Discovery,2026-01-16T11:45:00
MOH-019,Discovery,Qualification,2026-01-29T16:30:00
MOH-020,,Discovery,2026-02-17T13:30:00
MOH-020,Discovery,Qualification,2026-03-04T12:45:00
MOH-021,,Discovery,2026-04-01T17:45:00
MOH-021,Discovery,Qualification,2026-04-20T09:45:00
MOH-022,,Discovery,2026-03-02T08:30:00
MOH-022,Discovery,Qualification,2026-03-22T09:45:00
MOH-023,,Discovery,2026-01-01T08:00:00
MOH-023,Discovery,Qualification,2026-01-16T15:00:00
MOH-024,,Discovery,2026-02-20T08:30:00
MOH-024,Discovery,Qualification,2026-03-02T17:00:00
MOH-025,,Discovery,2026-03-27T15:45:00
MOH-025,Discovery,Qualification,2026-04-05T16:45:00
MOH-026,,Discovery,2026-03-20T09:00:00
MOH-026,Discovery,Qualification,2026-03-31T11:30:00
MOH-027,,Discovery,2026-01-07T10:15:00
MOH-027,Discovery,Qualification,2026-01-20T16:00:00
MOH-028,,Discovery,2026-03-09T13:15:00
MOH-028,Discovery,Qualification,2026-03-21T08:00:00
MOH-029,,Discovery,2026-03-31T14:00:00
MOH-029,Discovery,Qualification,2026-04-08T14:30:00
MOH-030,,Discovery,2026-01-09T14:30:00
MOH-030,Discovery,Qualification,2026-01-27T11:15:00
MOH-031,,Discovery,2026-04-17T11:30:00
MOH-031,Discovery,Qualification,2026-04-26T09:30:00
MOH-032,,Discovery,2026-02-12T11:30:00
MOH-032,Discovery,Qualification,2026-03-02T13:00:00
MOH-033,,Discovery,2026-01-23T09:00:00
MOH-033,Discovery,Qualification,2026-02-12T16:00:00
MOH-034,,Discovery,2026-03-17T10:30:00
MOH-034,Discovery,Qualification,2026-04-04T12:45:00
MOH-035,,Discovery,2026-03-18T13:45:00
MOH-035,Discovery,Qualification,2026-03-30T09:00:00
MOH-036,,Discovery,2026-04-14T14:45:00
MOH-036,Discovery,Qualification,2026-04-27T11:15:00
MOH-037,,Discovery,2026-03-20T13:45:00
MOH-037,Discovery,Qualification,2026-04-03T09:45:00
MOH-038,,Discovery,2026-04-10T10:00:00
MOH-038,Discovery,Qualification,2026-04-27T13:45:00
MOH-039,,Discovery,2026-02-09T15:15:00
MOH-039,Discovery,Qualification,2026-02-28T11:45:00
MOH-040,,Discovery,2026-03-12T11:45:00
MOH-040,Discovery,Qualification,2026-03-27T11:45:00
MOH-041,,Discovery,2026-03-04T12:30:00
MOH-041,Discovery,Qualification,2026-03-26T14:45:00
MOH-042,,Discovery,2026-01-15T08:45:00
MOH-042,Discovery,Qualification,2026-01-29T09:30:00
MOH-043,,Discovery,2026-01-07T15:00:00
MOH-043,Discovery,Qualification,2026-01-26T10:45:00
MOH-044,,Discovery,2026-01-13T10:15:00
MOH-044,Discovery,Qualification,2026-01-26T16:15:00
MOH-045,,Discovery,2026-03-09T12:00:00
MOH-045,Discovery,Qualification,2026-03-27T16:45:00
MOH-046,,Discovery,2026-01-12T13:00:00
MOH-046,Discovery,Qualification,2026-01-28T17:30:00
MOH-047,,Discovery,2026-04-16T17:15:00
MOH-047,Discovery,Qualification,2026-05-03T08:15:00
MOH-048,,Discovery,2026-02-05T08:45:00
MOH-048,Discovery,Qualification,2026-02-16T10:15:00
MOH-049,,Discovery,2026-01-05T13:45:00
MOH-049,Discovery,Qualification,2026-01-27T14:30:00
MOH-050,,Discovery,2026-02-25T14:30:00
MOH-050,Discovery,Qualification,2026-03-15T16:45:00
MOH-051,,Discovery,2026-01-23T12:30:00
MOH-051,Discovery,Qualification,2026-02-14T13:00:00
MOH-052,,Discovery,2026-02-24T15:15:00
MOH-052,Discovery,Qualification,2026-03-11T14:00:00
MOH-053,,Discovery,2026-04-15T16:30:00
MOH-053,Discovery,Qualification,2026-05-02T08:15:00
MOH-054,,Discovery,2026-01-13T10:30:00
MOH-054,Discovery,Qualification,2026-01-23T10:30:00
MOH-055,,Discovery,2026-03-06T15:15:00
MOH-055,Discovery,Qualification,2026-03-20T10:30:00
MOH-056,,Discovery,2026-04-15T15:00:00
MOH-056,Discovery,Qualification,2026-05-03T17:00:00
MOH-057,,Discovery,2026-01-29T14:45:00
MOH-057,Discovery,Qualification,2026-02-08T14:00:00
MOH-058,,Discovery,2026-02-25T10:45:00
MOH-058,Discovery,Qualification,2026-03-10T17:30:00
MOH-059,,Discovery,2026-01-12T14:45:00
MOH-059,Discovery,Qualification,2026-02-07T11:00:00
MOH-060,,Discovery,2026-03-26T15:45:00
MOH-060,Discovery,Qualification,2026-04-23T15:00:00
MOH-061,,Discovery,2026-04-03T15:30:00
MOH-061,Discovery,Qualification,2026-04-15T10:30:00
MOH-062,,Discovery,2026-02-04T10:15:00
MOH-062,Discovery,Qualification,2026-02-17T08:45:00
MOH-063,,Discovery,2026-03-04T08:30:00
MOH-063,Discovery,Qualification,2026-03-18T10:45:00
MOH-064,,Discovery,2026-03-16T13:00:00
MOH-064,Discovery,Qualification,2026-03-27T09:15:00
MOH-065,,Discovery,2026-01-28T12:45:00
MOH-065,Discovery,Qualification,2026-02-06T08:15:00
MOH-066,,Discovery,2026-03-05T15:45:00
MOH-066,Discovery,Qualification,2026-03-14T08:15:00
MOH-067,,Discovery,2026-01-29T16:30:00
MOH-067,Discovery,Qualification,2026-02-19T13:15:00
MOH-068,,Discovery,2026-03-13T16:00:00
MOH-068,Discovery,Qualification,2026-03-29T11:30:00
MOH-069,,Discovery,2026-03-17T16:00:00
MOH-069,Discovery,Qualification,2026-04-08T14:15:00
MOH-070,,Discovery,2026-02-11T16:00:00
MOH-070,Discovery,Qualification,2026-02-28T14:45:00
MOH-071,,Discovery,2026-04-08T17:15:00
MOH-071,Discovery,Qualification,2026-04-28T10:45:00
MOH-072,,Discovery,2026-03-24T11:30:00
MOH-072,Discovery,Qualification,2026-04-06T09:15:00
MOH-073,,Discovery,2026-01-09T10:15:00
MOH-073,Discovery,Qualification,2026-01-22T11:30:00
MOH-074,,Discovery,2026-03-11T13:00:00
MOH-074,Discovery,Qualification,2026-03-28T12:45:00
MOH-075,,Discovery,2026-01-28T09:15:00
MOH-075,Discovery,Qualification,2026-02-08T10:45:00
MOH-076,,Discovery,2026-03-24T16:15:00
MOH-076,Discovery,Qualification,2026-04-08T09:45:00
MOH-077,,Discovery,2025-11-17T17:00:00
MOH-077,Discovery,Qualification,2025-11-30T09:00:00
MOH-077,Qualification,Technical Evaluation,2025-12-14T09:30:00
MOH-078,,Discovery,2025-12-05T15:45:00
MOH-078,Discovery,Qualification,2025-12-14T11:15:00
MOH-078,Qualification,Technical Evaluation,2026-01-02T13:15:00
MOH-079,,Discovery,2026-02-04T16:30:00
MOH-079,Discovery,Technical Evaluation,2026-02-21T16:30:00
MOH-080,,Discovery,2026-02-10T08:30:00
MOH-080,Discovery,Qualification,2026-02-22T09:30:00
MOH-080,Qualification,Technical Evaluation,2026-04-02T17:45:00
MOH-081,,Discovery,2026-03-17T16:45:00
MOH-081,Discovery,Qualification,2026-04-04T15:15:00
MOH-081,Qualification,Technical Evaluation,2026-05-01T13:15:00
MOH-082,,Discovery,2025-12-10T13:00:00
MOH-082,Discovery,Qualification,2025-12-24T12:15:00
MOH-082,Qualification,Technical Evaluation,2026-02-02T12:45:00
MOH-083,,Discovery,2025-10-02T16:00:00
MOH-083,Discovery,Qualification,2025-10-27T13:30:00
MOH-083,Qualification,Technical Evaluation,2025-12-05T14:15:00
MOH-084,,Discovery,2026-02-20T16:30:00
MOH-084,Discovery,Qualification,2026-03-22T09:15:00
MOH-084,Qualification,Technical Evaluation,2026-04-28T09:45:00
MOH-085,,Discovery,2025-10-10T14:00:00
MOH-085,Discovery,Qualification,2025-10-26T12:00:00
MOH-085,Qualification,Technical Evaluation,2025-11-24T09:30:00
MOH-086,,Discovery,2026-03-16T17:00:00
MOH-086,Discovery,Qualification,2026-03-29T15:00:00
MOH-086,Qualification,Technical Evaluation,2026-05-18T16:15:00
MOH-087,,Discovery,2025-11-11T16:30:00
MOH-087,Discovery,Qualification,2025-11-22T09:45:00
MOH-087,Qualification,Technical Evaluation,2025-12-23T09:45:00
MOH-088,,Discovery,2026-02-25T08:45:00
